Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
29,1,1,-14156.001373637464,5280.088345875,5280.088345875
29,1,1,-10996.3324876701,5483.464858625,5483.464858625
29,1,1,-8285.477116855101,5364.655370815,5364.655370815
29,1,1,-10939.2771168551,0.0,7123.5966773400005
30,1,1,-4901.387579345891,8691.68953750921,9752.520400795
30,1,1,-7490.977948267737,64.20963107815396,11112.648714075
30,1,1,-10144.777948267736,0.0,7308.6468021
30,1,1,-10144.777948267736,0.0,3803.54485457
30,1,1,-12798.577948267735,0.0,3085.647263775
30,1,1,-14529.671652737874,0.0,1969.2427228099998
30,1,1,-14529.671652737874,0.0,1070.51455875
30,1,1,-14529.671652737874,0.0,613.36396212
31,1,1,-14529.671652737874,0.0,396.93974747
31,1,1,-14529.671652737874,0.0,279.0843832
31,1,1,-14529.671652737874,0.0,148.61537446
31,1,1,-14529.671652737874,0.0,170.98229032
31,1,1,-14661.052780397875,0.0,131.38112766
31,1,1,-14661.052780397875,523.5802571999999,523.5802571999999
31,1,1,-14661.052780397875,1425.88588743,1425.88588743
31,1,1,-16246.657472721421,0.0,2734.62850346
32,1,1,-15659.02889437156,3118.68657188,3118.68657188
32,1,1,-15281.15266606156,3031.67622831,3031.67622831
32,1,1,-11608.345856341559,3672.8068097200003,3672.8068097200003
32,1,1,-13625.146214173708,636.9996421678511,4662.067776269999
32,1,1,-16278.94621417371,0.0,5344.57275156
32,1,1,-13310.556269833709,5622.18994434,5622.18994434
32,1,1,-8090.666771543709,5219.88949829,5219.88949829
32,1,1,-9562.256598867254,0.0,7287.794081585001
33,1,1,-11849.634874926978,366.42172394027557,9840.033808705
33,1,1,-14145.186908848827,358.2479660781514,11327.590736959999
33,1,1,-16694.730630103433,0.0,7241.14700172
33,1,1,-17870.43856814251,0.0,3837.20024205
33,1,1,-19403.26346144804,0.0,3078.37331619
33,1,1,-17588.434869448043,1814.8285919999998,1814.8285919999998
33,1,1,-17588.434869448043,0.0,1067.639184375
33,1,1,-18240.639894948043,0.0,652.2050255
34,1,1,-18240.639894948043,0.0,453.327098505
34,1,1,-17944.975350323042,295.664544625,295.664544625
34,1,1,-17944.975350323042,0.0,158.12061359999998
34,1,1,-17944.975350323042,0.0,179.917455155
34,1,1,-17944.975350323042,0.0,140.47031257999998
34,1,1,-17425.63229173265,554.15524323,554.15524323
34,1,1,-18899.57144383265,0.0,1473.9391521000002
34,1,1,-17177.65597498779,2902.2663572100005,2902.2663572100005
35,1,1,-19169.399961242394,0.0,3223.3562171999997
35,1,1,-21823.199961242393,0.0,3148.25942718
35,1,1,-20065.872504736864,3808.7345298799996,3808.7345298799996
35,1,1,-15518.01760032041,4826.06915616,4826.06915616
35,1,1,-9938.11116879041,5579.90643153,5579.90643153
35,1,1,-12591.911168790411,0.0,5856.23545578
35,1,1,-15245.71116879041,0.0,5512.79868375
35,1,1,-17682.583519329488,0.0,7631.332868505
36,1,1,-20336.383519329487,0.0,10468.256707300001
36,1,1,-11926.71248348412,11063.471035845367,11989.308001964999
36,1,1,-14126.553934023203,0.0,7897.569577725001
36,1,1,-16780.353934023202,0.0,4031.0015058900003
36,1,1,-14753.60774279334,3176.3140838,3176.3140838
